"hgnc_symbol","ensembl_gene_id","description","external_gene_name","gene_biotype","chromosome_name","affy_hg_u133_plus_2"
"POLR2C","ENSG00000102978","RNA polymerase II subunit C [Source:HGNC Symbol;Acc:HGNC:9189]","POLR2C","protein_coding","16","208996_s_at"
"TWIST1","ENSG00000122691","twist family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:12428]","TWIST1","protein_coding","7",""
"PMM1","ENSG00000100417","phosphomannomutase 1 [Source:HGNC Symbol;Acc:HGNC:9114]","PMM1","protein_coding","22","203467_at"
"NAALAD2","ENSG00000285516","N-acetylated alpha-linked acidic dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:14526]","NAALAD2","protein_coding","CHR_HSCHR11_2_CTG8",""
"ARIH1","ENSG00000166233","ariadne RBR E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:689]","ARIH1","protein_coding","15","1556846_at"
"RANBP9","ENSG00000010017","RAN binding protein 9 [Source:HGNC Symbol;Acc:HGNC:13727]","RANBP9","protein_coding","6","216125_s_at"
"RFC1","ENSG00000035928","replication factor C subunit 1 [Source:HGNC Symbol;Acc:HGNC:9969]","RFC1","protein_coding","4","209085_x_at"
"GPR146","ENSG00000164849","G protein-coupled receptor 146 [Source:HGNC Symbol;Acc:HGNC:21718]","GPR146","protein_coding","7","228770_at"
"PGRMC1","ENSG00000101856","progesterone receptor membrane component 1 [Source:HGNC Symbol;Acc:HGNC:16090]","PGRMC1","protein_coding","X","201120_s_at"
"HADH","ENSG00000138796","hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4799]","HADH","protein_coding","4","201035_s_at"
"CENPV","ENSG00000166582","centromere protein V [Source:HGNC Symbol;Acc:HGNC:29920]","CENPV","protein_coding","17","226611_s_at"
"ST13","ENSG00000100380","ST13 Hsp70 interacting protein [Source:HGNC Symbol;Acc:HGNC:11343]","ST13","protein_coding","22","208667_s_at"
"MALSU1","ENSG00000156928","mitochondrial assembly of ribosomal large subunit 1 [Source:HGNC Symbol;Acc:HGNC:21721]","MALSU1","protein_coding","7",""
"ACSS3","ENSG00000111058","acyl-CoA synthetase short chain family member 3 [Source:HGNC Symbol;Acc:HGNC:24723]","ACSS3","protein_coding","12",""
"CRLS1","ENSG00000088766","cardiolipin synthase 1 [Source:HGNC Symbol;Acc:HGNC:16148]","CRLS1","protein_coding","20","241741_at"
"CAST","ENSG00000153113","calpastatin [Source:HGNC Symbol;Acc:HGNC:1515]","CAST","protein_coding","5",""
"CRBN","ENSG00000113851","cereblon [Source:HGNC Symbol;Acc:HGNC:30185]","CRBN","protein_coding","3",""
"STK38L","ENSG00000211455","serine/threonine kinase 38 like [Source:HGNC Symbol;Acc:HGNC:17848]","STK38L","protein_coding","12",""
"MRPS9","ENSG00000135972","mitochondrial ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:14501]","MRPS9","protein_coding","2","226749_at"
"TOMM20","ENSG00000173726","translocase of outer mitochondrial membrane 20 [Source:HGNC Symbol;Acc:HGNC:20947]","TOMM20","protein_coding","1","200662_s_at"
"SENP2","ENSG00000163904","SUMO specific peptidase 2 [Source:HGNC Symbol;Acc:HGNC:23116]","SENP2","protein_coding","3",""
"CCDC50","ENSG00000152492","coiled-coil domain containing 50 [Source:HGNC Symbol;Acc:HGNC:18111]","CCDC50","protein_coding","3","225331_at"
"NMNAT2","ENSG00000157064","nicotinamide nucleotide adenylyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16789]","NMNAT2","protein_coding","1","209755_at"
"EIF1","ENSG00000173812","eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249]","EIF1","protein_coding","17","212225_at"
"RNASE4","ENSG00000258818","ribonuclease A family member 4 [Source:HGNC Symbol;Acc:HGNC:10047]","RNASE4","protein_coding","14","205158_at"
"FBXL12","ENSG00000127452","F-box and leucine rich repeat protein 12 [Source:HGNC Symbol;Acc:HGNC:13611]","FBXL12","protein_coding","19","220127_s_at"
"NEIL2","ENSG00000154328","nei like DNA glycosylase 2 [Source:HGNC Symbol;Acc:HGNC:18956]","NEIL2","protein_coding","8","226585_at"
"BTG3","ENSG00000281484","BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]","BTG3","protein_coding","CHR_HSCHR21_6_CTG1_1",""
"NDUFS4","ENSG00000164258","NADH:ubiquinone oxidoreductase subunit S4 [Source:HGNC Symbol;Acc:HGNC:7711]","NDUFS4","protein_coding","5","209303_at"
"EIF2A","ENSG00000144895","eukaryotic translation initiation factor 2A [Source:HGNC Symbol;Acc:HGNC:3254]","EIF2A","protein_coding","3",""
"C4orf48","ENSG00000243449","chromosome 4 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:34437]","C4orf48","protein_coding","4","229860_x_at"
"NIPSNAP3B","ENSG00000165028","nipsnap homolog 3B [Source:HGNC Symbol;Acc:HGNC:23641]","NIPSNAP3B","protein_coding","9","229015_at"
"ELP2","ENSG00000134759","elongator acetyltransferase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:18248]","ELP2","protein_coding","18",""
"FDFT1","ENSG00000079459","farnesyl-diphosphate farnesyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3629]","FDFT1","protein_coding","8","210950_s_at"
"PHLPP1","ENSG00000081913","PH domain and leucine rich repeat protein phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:20610]","PHLPP1","protein_coding","18","212719_at"
"HDDC3","ENSG00000184508","HD domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30522]","HDDC3","protein_coding","15","227008_at"
"VPS26A","ENSG00000122958","VPS26, retromer complex component A [Source:HGNC Symbol;Acc:HGNC:12711]","VPS26A","protein_coding","10","201807_at"
"CIDEA","ENSG00000176194","cell death inducing DFFA like effector a [Source:HGNC Symbol;Acc:HGNC:1976]","CIDEA","protein_coding","18","221295_at"
"CPAMD8","ENSG00000160111","C3 and PZP like alpha-2-macroglobulin domain containing 8 [Source:HGNC Symbol;Acc:HGNC:23228]","CPAMD8","protein_coding","19","227721_at"
"SAFB","ENSG00000160633","scaffold attachment factor B [Source:HGNC Symbol;Acc:HGNC:10520]","SAFB","protein_coding","19","201748_s_at"
"EIF4EBP1","ENSG00000187840","eukaryotic translation initiation factor 4E binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3288]","EIF4EBP1","protein_coding","8","221539_at"
"ORMDL3","ENSG00000172057","ORMDL sphingolipid biosynthesis regulator 3 [Source:HGNC Symbol;Acc:HGNC:16038]","ORMDL3","protein_coding","17","223259_at"
"MRPS22","ENSG00000175110","mitochondrial ribosomal protein S22 [Source:HGNC Symbol;Acc:HGNC:14508]","MRPS22","protein_coding","3","219220_x_at"
"ARHGEF26","ENSG00000277101","Rho guanine nucleotide exchange factor 26 [Source:HGNC Symbol;Acc:HGNC:24490]","ARHGEF26","protein_coding","CHR_HSCHR3_2_CTG2_1","222121_at"
"ANKRA2","ENSG00000164331","ankyrin repeat family A member 2 [Source:HGNC Symbol;Acc:HGNC:13208]","ANKRA2","protein_coding","5","218769_s_at"
"HLF","ENSG00000108924","HLF transcription factor, PAR bZIP family member [Source:HGNC Symbol;Acc:HGNC:4977]","HLF","protein_coding","17","204755_x_at"
"RPRD1B","ENSG00000101413","regulation of nuclear pre-mRNA domain containing 1B [Source:HGNC Symbol;Acc:HGNC:16209]","RPRD1B","protein_coding","20","225024_at"
"NDUFB8","ENSG00000166136","NADH:ubiquinone oxidoreductase subunit B8 [Source:HGNC Symbol;Acc:HGNC:7703]","NDUFB8","protein_coding","10","201227_s_at"
"ECHDC3","ENSG00000134463","enoyl-CoA hydratase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23489]","ECHDC3","protein_coding","10","219298_at"
"TTLL7","ENSG00000137941","tubulin tyrosine ligase like 7 [Source:HGNC Symbol;Acc:HGNC:26242]","TTLL7","protein_coding","1","219882_at"
"RPL30","ENSG00000156482","ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:10333]","RPL30","protein_coding","8","200062_s_at"
"BUB3","ENSG00000154473","BUB3 mitotic checkpoint protein [Source:HGNC Symbol;Acc:HGNC:1151]","BUB3","protein_coding","10","201456_s_at"
NA,NA,NA,NA,NA,NA,NA
"SHMT1","ENSG00000284320","serine hydroxymethyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10850]","SHMT1","protein_coding","CHR_HSCHR17_3_CTG1","209980_s_at"
"U2SURP","ENSG00000163714","U2 snRNP associated SURP domain containing [Source:HGNC Symbol;Acc:HGNC:30855]","U2SURP","protein_coding","3",""
"PDLIM1","ENSG00000107438","PDZ and LIM domain 1 [Source:HGNC Symbol;Acc:HGNC:2067]","PDLIM1","protein_coding","10","208690_s_at"
"LMBRD1","ENSG00000168216","LMBR1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23038]","LMBRD1","protein_coding","6","218191_s_at"
"C11orf58","ENSG00000110696","chromosome 11 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:16990]","C11orf58","protein_coding","11",""
"ZFAND1","ENSG00000104231","zinc finger AN1-type containing 1 [Source:HGNC Symbol;Acc:HGNC:25858]","ZFAND1","protein_coding","8","218919_at"
"AASS","ENSG00000008311","aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366]","AASS","protein_coding","7","214829_at"
"KCTD10","ENSG00000110906","potassium channel tetramerization domain containing 10 [Source:HGNC Symbol;Acc:HGNC:23236]","KCTD10","protein_coding","12","226518_at"
NA,NA,NA,NA,NA,NA,NA
"DLST","ENSG00000119689","dihydrolipoamide S-succinyltransferase [Source:HGNC Symbol;Acc:HGNC:2911]","DLST","protein_coding","14",""
"HNRNPDL","ENSG00000152795","heterogeneous nuclear ribonucleoprotein D like [Source:HGNC Symbol;Acc:HGNC:5037]","HNRNPDL","protein_coding","4","1554678_s_at"
"PHF3","ENSG00000118482","PHD finger protein 3 [Source:HGNC Symbol;Acc:HGNC:8921]","PHF3","protein_coding","6","217951_s_at"
